f0(capture histogram: move <= 60, captured)	f0(capture histogram: move <= 60, lost)	f0(capture histogram: move <= 60, difference)	f0(capture histogram: 60 < move <= 240, captured)	f0(capture histogram: 60 < move <= 240, lost)	f0(capture histogram: 60 < move <= 240, difference)	f0(capture histogram: move > 240, captured)	f0(capture histogram: move > 240, lost)	f0(capture histogram: move > 240, difference)	player strength	OSL name	OSL size	Image name
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	continuous	string
									class	meta	meta	meta
0.392857142857	0.571428571429	-0.178571428571	5.71428571429	4.92857142857	0.785714285714	1.5	0.857142857143	0.642857142857	-5.0	kgs_wide 10 <= X <= 100, player Menglei (6d)	28.0	strength: 6d
0.727272727273	0.818181818182	-0.0909090909091	5.45454545455	4.45454545455	1.0	0.545454545455	0.181818181818	0.363636363636	-5.0	kgs_wide 10 <= X <= 100, player kisume (6d)	11.0	strength: 6d
0.575757575758	0.757575757576	-0.181818181818	7.18181818182	6.9696969697	0.212121212121	2.90909090909	3.9696969697	-1.06060606061	-5.0	kgs_wide 10 <= X <= 100, player eastwisdom (6d), subsampled to max 50	33.0	strength: 6d
0.612903225806	0.483870967742	0.129032258065	6.67741935484	5.83870967742	0.838709677419	1.93548387097	2.16129032258	-0.225806451613	-5.0	kgs_wide 10 <= X <= 100, player Iwish (6d), subsampled to max 50	31.0	strength: 6d
1.0	0.75	0.25	2.0	4.41666666667	-2.41666666667	0.166666666667	0.0	0.166666666667	-5.0	kgs_wide 10 <= X <= 100, player Im (6d)	12.0	strength: 6d
0.809523809524	0.619047619048	0.190476190476	5.0	5.2380952381	-0.238095238095	2.7619047619	2.42857142857	0.333333333333	-5.0	kgs_wide 10 <= X <= 100, player Seadog (6d)	21.0	strength: 6d
0.483870967742	0.387096774194	0.0967741935484	7.70967741935	7.54838709677	0.161290322581	2.45161290323	1.93548387097	0.516129032258	-5.0	kgs_wide 10 <= X <= 100, player shimamura (6d)	31.0	strength: 6d
0.166666666667	0.5	-0.333333333333	2.25	1.66666666667	0.583333333333	0.0	0.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player go1d (6d)	12.0	strength: 6d
0.615384615385	1.15384615385	-0.538461538462	7.61538461538	8.15384615385	-0.538461538462	3.0	3.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player wizardlich (6d)	13.0	strength: 6d
0.538461538462	0.307692307692	0.230769230769	4.69230769231	4.28205128205	0.410256410256	1.35897435897	1.48717948718	-0.128205128205	-5.0	kgs_wide 10 <= X <= 100, player mi5103kann (6d)	39.0	strength: 6d
