f0(bdist histogram: move <= 10, bdist <= 2)	f0(bdist histogram: move <= 10, bdist == 3)	f0(bdist histogram: move <= 10, bdist == 4)	f0(bdist histogram: move <= 10, bdist > 4)	f0(bdist histogram: 10 < move <= 64, bdist <= 2)	f0(bdist histogram: 10 < move <= 64, bdist == 3)	f0(bdist histogram: 10 < move <= 64, bdist == 4)	f0(bdist histogram: 10 < move <= 64, bdist > 4)	f0(bdist histogram: 64 < move <= 200, bdist <= 2)	f0(bdist histogram: 64 < move <= 200, bdist == 3)	f0(bdist histogram: 64 < move <= 200, bdist == 4)	f0(bdist histogram: 64 < move <= 200, bdist > 4)	f0(bdist histogram: move > 200, bdist <= 2)	f0(bdist histogram: move > 200, bdist == 3)	f0(bdist histogram: move > 200, bdist == 4)	f0(bdist histogram: move > 200, bdist > 4)	player strength	OSL name	OSL size	Image name
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	continuous	string
																class	meta	meta	meta
0.4	2.66666666667	1.53333333333	0.4	5.06666666667	8.8	5.0	8.13333333333	12.3333333333	7.06666666667	6.53333333333	25.6666666667	3.06666666667	0.866666666667	0.666666666667	2.6	-5.0	kgs_wide 10 <= X <= 100, player life (6d)	15.0	strength: 6d
0.0666666666667	3.26666666667	1.53333333333	0.133333333333	4.96666666667	8.1	5.1	8.46666666667	14.9333333333	8.4	7.26666666667	22.8	7.7	1.5	1.86666666667	5.63333333333	-5.0	kgs_wide 10 <= X <= 100, player hirubon (6d), subsampled to max 50	30.0	strength: 6d
0.0869565217391	2.52173913043	2.26086956522	0.130434782609	5.47826086957	6.91304347826	5.26086956522	7.78260869565	11.6956521739	6.65217391304	7.17391304348	19.8695652174	4.73913043478	0.913043478261	1.17391304348	3.26086956522	-5.0	kgs_wide 10 <= X <= 100, player howzulee (6d), subsampled to max 50	23.0	strength: 6d
0.0909090909091	2.09090909091	2.54545454545	0.272727272727	5.81818181818	8.36363636364	6.72727272727	6.09090909091	13.1818181818	7.18181818182	7.36363636364	28.9090909091	2.90909090909	0.727272727273	1.09090909091	5.0	-5.0	kgs_wide 10 <= X <= 100, player angryfist (6d)	11.0	strength: 6d
0.102040816327	2.97959183673	1.77551020408	0.142857142857	5.28571428571	7.63265306122	5.22448979592	8.48979591837	15.1428571429	8.48979591837	7.77551020408	23.5102040816	6.38775510204	1.34693877551	1.42857142857	5.34693877551	-5.0	kgs_wide 10 <= X <= 100, player satoke (6d), subsampled to max 50	49.0	strength: 6d
0.235294117647	2.76470588235	1.76470588235	0.235294117647	6.23529411765	6.47058823529	5.23529411765	8.88235294118	14.1764705882	9.58823529412	7.94117647059	26.6470588235	13.4705882353	2.94117647059	2.70588235294	8.64705882353	-5.0	kgs_wide 10 <= X <= 100, player michi2009 (6d), subsampled to max 50	17.0	strength: 6d
0.0833333333333	2.75	2.16666666667	0.0	4.91666666667	8.0	5.75	8.33333333333	12.75	7.83333333333	6.58333333333	24.5833333333	5.0	1.66666666667	1.33333333333	3.58333333333	-5.0	kgs_wide 10 <= X <= 100, player miao (6d)	12.0	strength: 6d
0.384615384615	2.19230769231	2.07692307692	0.346153846154	4.88461538462	6.96153846154	5.96153846154	9.19230769231	14.2307692308	8.15384615385	6.80769230769	26.1923076923	7.19230769231	1.53846153846	1.96153846154	6.5	-5.0	kgs_wide 10 <= X <= 100, player supertjc (6d), subsampled to max 50	26.0	strength: 6d
0.12	2.72	1.92	0.24	5.04	8.2	5.2	8.56	13.96	8.6	8.12	26.88	6.88	1.56	2.12	5.24	-5.0	kgs_wide 10 <= X <= 100, player Hezi (6d)	25.0	strength: 6d
0.142857142857	2.5	2.25	0.107142857143	5.39285714286	7.71428571429	5.75	8.14285714286	13.7857142857	8.21428571429	7.35714285714	25.3571428571	6.07142857143	1.21428571429	1.64285714286	4.5	-5.0	kgs_wide 10 <= X <= 100, player Menglei (6d)	28.0	strength: 6d
